      material  location  period     label       f_0     res_1       f_1  \
271        9.0       9.0    12.0  0.090000  0.138144 -0.048144  0.138330   
272        9.0       7.0    12.0  0.270000  0.138144  0.131856  0.138330   
273        9.0       7.0    24.0  0.180000  0.138144  0.041856  0.138330   
274        9.0       7.0    48.0  0.090000  0.138144 -0.048144  0.138330   
275        9.0       7.0    96.0  0.070000  0.138144 -0.068144  0.133341   
276        9.0       7.0   192.0  0.050000  0.138144 -0.088144  0.133341   
277        9.0       5.0    48.0  0.100000  0.138144 -0.038144  0.138330   
278        9.0       5.0    24.0  0.150000  0.138144  0.011856  0.138330   
279        9.0       5.0    24.0  0.140000  0.138144  0.001856  0.138330   
280        9.0       5.0    12.0  0.200000  0.138144  0.061856  0.138330   
281        9.0       5.0    12.0  0.170000  0.138144  0.031856  0.138330   
282        9.0      13.0    12.0  0.099000  0.138144 -0.039144  0.145557   
283        9.0      13.0    48.0  0.280000  0.138144  0.141856  0.145557   
284        9.0      13.0    96.0  0.330000  0.138144  0.191856  0.145557   
285        9.0      13.0    96.0  0.330000  0.138144  0.191856  0.145557   
286        9.0      11.0    12.0  0.180000  0.138144  0.041856  0.138330   
287        9.0      11.0    24.0  0.150000  0.138144  0.011856  0.138330   
288        9.0      11.0    48.0  0.110000  0.138144 -0.028144  0.138330   
289        9.0      11.0    96.0  0.088000  0.138144 -0.050144  0.133341   
290        9.0      11.0   192.0  0.079000  0.138144 -0.059144  0.133341   
291        9.0      10.0    12.0  0.093000  0.138144 -0.045144  0.138330   
292        9.0      10.0    24.0  0.082000  0.138144 -0.056144  0.138330   
293        9.0      10.0    96.0  0.055000  0.138144 -0.083144  0.133341   
294        9.0      10.0   192.0  0.063000  0.138144 -0.075144  0.133341   
295       10.0       9.0    12.0  0.100000  0.138144 -0.038144  0.138330   
296       10.0       9.0    24.0  0.130000  0.138144 -0.008144  0.138330   
297       10.0       9.0    48.0  0.200000  0.138144  0.061856  0.138330   
298       10.0       9.0    96.0  0.230000  0.138144  0.091856  0.133341   
299       10.0       9.0    96.0  0.230000  0.138144  0.091856  0.133341   
300       10.0       7.0    12.0  0.290000  0.138144  0.151856  0.138330   
301       10.0       7.0    24.0  0.190000  0.138144  0.051856  0.138330   
302       10.0       7.0    48.0  0.100000  0.138144 -0.038144  0.138330   
303       10.0       7.0    96.0  0.070000  0.138144 -0.068144  0.133341   
304       10.0       7.0   192.0  0.050000  0.138144 -0.088144  0.133341   
305       10.0       5.0    12.0  0.200000  0.138144  0.061856  0.138330   
306       10.0       5.0    24.0  0.170000  0.138144  0.031856  0.138330   
307       10.0       5.0    48.0  0.120000  0.138144 -0.018144  0.138330   
308       10.0       5.0    96.0  0.090000  0.138144 -0.048144  0.133341   
309       10.0       5.0   192.0  0.070000  0.138144 -0.068144  0.133341   
310       10.0      13.0    12.0  0.100000  0.138144 -0.038144  0.145557   
311       10.0      13.0    24.0  0.190000  0.138144  0.051856  0.145557   
312       10.0      13.0    48.0  0.340000  0.138144  0.201856  0.145557   
313       10.0      11.0    12.0  0.320000  0.138144  0.181856  0.138330   
314       10.0      11.0    24.0  0.270000  0.138144  0.131856  0.138330   
315       10.0      11.0    48.0  0.200000  0.138144  0.061856  0.138330   
316       10.0      11.0    96.0  0.140000  0.138144  0.001856  0.133341   
317       10.0      11.0   192.0  0.120000  0.138144 -0.018144  0.133341   
318       10.0      10.0    12.0  0.120000  0.138144 -0.018144  0.138330   
319       10.0      10.0    24.0  0.100000  0.138144 -0.038144  0.138330   
320       10.0      10.0    48.0  0.110000  0.138144 -0.028144  0.138330   
321       10.0      10.0    96.0  0.110000  0.138144 -0.028144  0.133341   
322       10.0      10.0   192.0  0.120000  0.138144 -0.018144  0.133341   
323       11.0       9.0    12.0  0.080000  0.138144 -0.058144  0.138330   
324       11.0       9.0    24.0  0.080000  0.138144 -0.058144  0.138330   
325       11.0       9.0    48.0  0.180000  0.138144  0.041856  0.138330   
326       11.0       9.0    96.0  0.260000  0.138144  0.121856  0.133341   
327       11.0       7.0    12.0  0.310000  0.138144  0.171856  0.138330   
328       11.0       7.0    24.0  0.180000  0.138144  0.041856  0.138330   
329       11.0       7.0    48.0  0.110000  0.138144 -0.028144  0.138330   
330       11.0       7.0    96.0  0.060000  0.138144 -0.078144  0.133341   
331       11.0       7.0   192.0  0.050000  0.138144 -0.088144  0.133341   
332       11.0       5.0    12.0  0.150000  0.138144  0.011856  0.138330   
333       11.0       5.0    24.0  0.130000  0.138144 -0.008144  0.138330   
334       11.0       5.0    48.0  0.080000  0.138144 -0.058144  0.138330   
335       11.0       5.0    96.0  0.110000  0.138144 -0.028144  0.133341   
336       11.0       5.0   192.0  0.040000  0.138144 -0.098144  0.133341   
337       11.0      13.0    12.0  0.085000  0.138144 -0.053144  0.145557   
338       11.0      13.0    24.0  0.200000  0.138144  0.061856  0.145557   
339       11.0      13.0    48.0  0.180000  0.138144  0.041856  0.145557   
340       11.0      13.0    96.0  0.370000  0.138144  0.231856  0.145557   
341       11.0      11.0    12.0  0.250000  0.138144  0.111856  0.138330   
342       11.0      11.0    24.0  0.220000  0.138144  0.081856  0.138330   
343       11.0      11.0    48.0  0.150000  0.138144  0.011856  0.138330   
344       11.0      11.0    96.0  0.140000  0.138144  0.001856  0.133341   
345       11.0      11.0   192.0  0.083000  0.138144 -0.055144  0.133341   
346       11.0      10.0    12.0  0.083000  0.138144 -0.055144  0.138330   
347       11.0      10.0    24.0  0.074000  0.138144 -0.064144  0.138330   
348       11.0      10.0    48.0  0.089000  0.138144 -0.049144  0.138330   
349       11.0      10.0    96.0  0.110000  0.138144 -0.028144  0.133341   
350       11.0      10.0   192.0  0.110000  0.138144 -0.028144  0.133341   
351       12.0       9.0    12.0  0.100000  0.138144 -0.038144  0.138330   
352       12.0       9.0    24.0  0.090000  0.138144 -0.048144  0.138330   
353       12.0       9.0    48.0  0.170000  0.138144  0.031856  0.138330   
354       12.0       9.0    96.0  0.200000  0.138144  0.061856  0.133341   
355       12.0       7.0    12.0  0.260000  0.138144  0.121856  0.138330   
356       12.0       7.0    24.0  0.150000  0.138144  0.011856  0.138330   
357       12.0       7.0    48.0  0.090000  0.138144 -0.048144  0.138330   
358       12.0       7.0    96.0  0.060000  0.138144 -0.078144  0.133341   
359       12.0       7.0   192.0  0.040000  0.138144 -0.098144  0.133341   
360       12.0       5.0    12.0  0.160000  0.138144  0.021856  0.138330   
361       12.0       5.0    24.0  0.130000  0.138144 -0.008144  0.138330   
362       12.0       5.0    48.0  0.080000  0.138144 -0.058144  0.138330   
363       12.0       5.0    96.0  0.090000  0.138144 -0.048144  0.133341   
364       12.0       5.0   192.0  0.040000  0.138144 -0.098144  0.133341   
365       12.0      13.0    12.0  0.087000  0.138144 -0.051144  0.145557   
366       12.0      13.0    24.0  0.076000  0.138144 -0.062144  0.145557   
367       12.0      13.0    48.0  0.140000  0.138144  0.001856  0.145557   
368       12.0      13.0    96.0  0.270000  0.138144  0.131856  0.145557   
369       12.0      11.0    12.0  0.180000  0.138144  0.041856  0.138330   
370       12.0      11.0    24.0  0.150000  0.138144  0.011856  0.138330   
371       12.0      11.0    48.0  0.098000  0.138144 -0.040144  0.138330   
372       12.0      11.0    96.0  0.070000  0.138144 -0.068144  0.133341   
373       12.0      11.0   192.0  0.053000  0.138144 -0.085144  0.133341   
374       12.0      10.0    12.0  0.160000  0.138144  0.021856  0.138330   
375       12.0      10.0    24.0  0.110000  0.138144 -0.028144  0.138330   
376       12.0      10.0    48.0  0.070000  0.138144 -0.068144  0.138330   
377       12.0      10.0    96.0  0.058000  0.138144 -0.080144  0.133341   
378       12.0      10.0   192.0  0.065000  0.138144 -0.073144  0.133341   
379        5.0       9.0    24.0  0.110000  0.138144 -0.028144  0.138330   
380        5.0       9.0    48.0  0.270000  0.138144  0.131856  0.138330   
381        5.0       9.0    96.0  0.250000  0.138144  0.111856  0.133341   
382        5.0       7.0    12.0  0.270000  0.138144  0.131856  0.138330   
383        5.0       7.0    24.0  0.160000  0.138144  0.021856  0.138330   
384        5.0       7.0    48.0  0.100000  0.138144 -0.038144  0.138330   
385        5.0       7.0    96.0  0.070000  0.138144 -0.068144  0.133341   
